Postcode district,Number of XL Bully applications approved,Rank,Per 100k residents
CR0,219,1,128.5935738
S5,189,2,297.909902
WA7,182,3,288.0658436
DE24,180,4,300.0050001
WA8,174,5,271.641558
L36,173,6,410.6532472
L4,171,7,420.6331636
B37,165,=8,437.9678293
LE3,165,=8,150.0259136
WA9,156,10,295.7738468
LE2,148,=11,120.2215976
NG17,148,=11,196.4819117
B77,147,13,256.9525774
CV2,145,14,212.8346642
CV6,141,15,149.8230813
SE18,133,16,156.5258326
B31,132,=17,227.4097683
DN4,132,=17,237.521143
WN2,128,=19,237.8651602
WN7,128,=19,253.8524086
WS3,127,21,238.4663049
NN3,123,22,157.5771552
LE4,120,23,110.0947733
CV10,119,24,210.832167
NP19,118,25,204.3820906
ME12,116,26,270.0123368
WV10,115,27,183.0306696
NG16,113,=28,176.2430595
SE9,113,=28,168.1297426
B36,112,30,303.6547012
CO15,111,31,246.6611853
CH65,110,=32,359.8298986
NG5,110,=32,122.5121677
BN2,109,34,115.5824187
PO9,108,35,212.155738
DY4,107,=36,221.881221
NG19,107,=36,196.7309566
NG8,107,=36,159.5538457
ST6,107,=36,159.0297698
WV14,107,=36,207.2880141
PR2,106,41,132.4205477
DE21,105,=42,182.143043
L20,105,=42,304.453723
WS11,105,=42,236.587729
B33,103,=45,273.8269307
BS13,103,=45,317.9208593
DY5,102,=47,238.8479101
L14,102,=47,368.5770037
CW1,101,=49,225.4263012
RH11,101,=49,167.5486472
BB5,100,=51,158.9016716
DE55,100,=51,184.8155541
S2,99,53,210.6696742
CV3,98,54,139.595174
L9,97,55,304.2278259
B44,96,56,254.3585396
ST3,95,57,138.6719605
L35,94,=58,307.6520259
LA14,94,=58,254.3496496
S64,94,=58,294.6523729
L11,93,=61,314.4335125
SO19,93,=61,158.9825119
SS8,92,63,240.0396587
LE5,91,=64,91.34436827
NG18,91,=64,201.9888129
PE2,91,=64,169.7254551
LU5,90,=67,213.8630801
M22,90,=67,197.4117131
TS6,90,=67,296.608773
DY2,89,=70,245.3074612
PR1,89,=70,121.142826
S13,89,=70,286.615999
SO16,89,=70,127.0702456
M40,88,=74,190.2908423
MK42,88,=74,155.9150263
NE34,88,=74,170.2984093
PE1,88,=74,155.0660793
BB2,87,=78,138.158835
NG6,87,=78,224.1112828
NP4,87,=78,192.1972341
WS10,87,=78,170.2177613
BL2,86,=82,182.1416469
BR1,86,=82,141.8159032
B45,85,=84,261.9253051
DN12,85,=84,347.3925127
L21,85,=84,340.6267532
L8,85,=84,240.7932011
B23,84,=88,173.8122827
NN8,84,=88,153.2399299
S66,84,=88,181.4568392
CF37,83,=91,213.9064997
DE7,83,=91,162.099877
BS15,82,=93,164.741336
L13,82,=93,274.5688934
L24,82,=93,471.6709807
S63,82,=93,191.1065536
CF83,81,=97,148.4386454
M34,81,=97,169.5766863
ME15,81,=97,151.9414744
WA10,81,=97,201.1323004
B14,80,=101,184.8044538
CH42,80,=101,245.278391
NE6,79,=103,155.7908852
WF10,79,=103,152.6806076
WS2,79,=103,187.3147599
M9,78,=106,175.9610179
WA11,78,=106,195.0682739
WN5,78,=106,174.3406348
WN8,78,=106,164.5604338
BS16,77,=110,84.3669194
CV12,77,=110,239.8903358
DN6,77,=110,248.7722926
NP20,77,=110,141.0824874
B98,76,=114,151.1024514
FY1,76,=114,220.6992682
ST5,76,=114,92.35966799
CR4,75,=117,115.5855564
DE23,75,=117,112.295622
DN17,75,=117,203.9373504
RM3,75,=117,156.0776642
SK14,75,=117,149.1439139
B68,74,=122,219.9631413
PL5,74,=122,168.1588874
PR7,74,=122,115.4158088
PR8,74,=122,131.7828077
S80,74,=122,239.9247803
BS4,73,=127,141.1528124
L25,73,=127,214.4220884
OX16,73,=127,139.501997
B32,72,=130,181.2825742
DE11,72,=130,153.9612958
NE28,72,=130,154.6491398
S43,72,=130,174.9398644
CM1,71,=134,102.2656891
LA1,71,=134,126.7992999
ME5,71,=134,136.1039758
NP44,71,=134,146.3133166
CH66,70,=138,194.8883568
DA1,70,=138,107.0843978
DN32,70,=138,249.4032137
L6,70,=138,282.7483136
LE9,70,=138,116.7016772
LS14,70,=138,179.4641713
NN10,70,=138,168.4433429
NR31,70,=138,137.6300112
PR4,70,=138,107.0058242
FY4,69,=147,155.1398507
GL4,69,=147,141.8906414
LU2,69,=147,111.9820829
NP23,69,=147,214.1659942
ST2,69,=147,194.5854484
B65,68,=152,273.4547794
BL3,68,=152,94.59816646
HU9,68,=152,162.1673185
RM8,68,=152,136.3189864
DA11,67,=156,161.827931
DY1,67,=156,190.1842232
LE12,67,=156,96.55013402
LE18,67,=156,198.4891127
S60,67,=156,159.0504451
S73,67,=156,229.0598291
TN23,67,=156,148.8194398
B63,66,=163,177.6820568
CT9,66,=163,142.3794628
CV11,66,=163,159.3317722
DA8,66,=163,172.4363161
ME2,66,=163,154.1227845
ME7,66,=163,123.6117094
WA2,66,=163,160.9402814
BL4,65,=170,183.4085779
BR5,65,=170,133.3661619
E4,65,=170,97.75171065
M23,65,=170,198.4551033
NN2,65,=170,154.4126381
TQ2,65,=170,177.9700463
DL1,64,=176,133.572651
DY8,64,=176,125.6626743
LL18,64,=176,151.3252784
M27,64,=176,148.4643222
NG11,64,=176,163.9302272
NG31,64,=176,135.1294287
S12,64,=176,187.12356
LE67,63,=183,97.20572125
M28,63,=183,144.6280992
SE16,63,=183,117.3184358
SG1,63,=183,113.1120168
SS13,63,=183,277.9370892
CV7,62,=188,211.5463355
EN3,62,=188,101.0792657
L33,62,=188,323.3039579
LS10,62,=188,154.7369472
M24,62,=188,122.367616
ME10,62,=188,117.8505579
PE7,62,=188,121.4662148
S70,62,=188,149.6247315
TF1,62,=188,145.1718648
CH5,61,=197,144.0649946
DN5,61,=197,151.4963368
E16,61,=197,99.16441786
IP24,61,=197,210.555383
S6,61,=197,104.9516534
S65,61,=197,173.4038319
SS16,61,=197,189.5469517
B34,60,=204,292.3264312
BS11,60,=204,314.317146
CH44,60,=204,204.4501993
LU7,60,=204,97.69441188
RH10,60,=204,81.12602929
WA3,60,=204,122.1150324
WS12,60,=204,163.3230803
CF5,59,=211,85.53823849
CW7,59,=211,170.6928974
GU14,59,=211,103.1017912
L30,59,=211,295.7986564
NG10,59,=211,124.4200759
SN2,59,=211,130.4472794
BB1,58,=217,82.13784997
CH62,58,=217,191.3559881
LL11,58,=217,151.3490945
M26,58,=217,156.2457908
M30,58,=217,143.3372875
N1,58,=217,61.79877042
NN18,58,=217,143.8848921
OL6,58,=217,188.642425
RM9,58,=217,145.5494492
TS19,58,=217,157.870383
WA5,58,=217,92.53645617
BB3,57,=228,167.2338927
BS5,57,=228,99.24607804
CH46,57,=228,225.4211817
DA12,57,=228,115.1887479
DN21,57,=228,146.0115785
L32,57,=228,271.0155953
LU4,57,=228,98.73036218
N9,57,=228,107.4559336
NG20,57,=228,204.2205582
NG3,57,=228,109.4154909
NN14,57,=228,121.5922181
OL8,57,=228,122.3727431
PE28,57,=228,108.7910829
PR5,57,=228,140.2800679
SE15,57,=228,86.9193937
WF9,57,=228,137.4520726
B79,56,=244,229.5458272
DN14,56,=244,114.3744128
DY11,56,=244,173.7996959
NE5,56,=244,111.845653
NG22,56,=244,199.7146933
OX4,56,=244,83.70076975
S41,56,=244,151.736845
S71,56,=244,117.7138293
SG19,56,=244,217.5517657
SO45,56,=244,162.9185698
SR4,56,=244,134.4731534
WV3,56,=244,183.6848493
AL7,55,=256,148.9304089
BB11,55,=256,219.6222497
BL1,55,=256,79.30557158
DE22,55,=256,112.8181986
DN16,55,=256,167.8313143
L27,55,=256,817.4791914
LS12,55,=256,124.4766323
S35,55,=256,135.3746185
SR5,55,=256,160.8751609
WA12,55,=256,215.3737714
CM3,54,=266,96.21209422
DY3,54,=266,154.6879028
HU6,54,=266,149.9458529
LE10,54,=266,101.6547128
LS9,54,=266,123.9584051
NN4,54,=266,102.5718953
RM15,54,=266,167.5353686
SE6,54,=266,94.38909282
ST16,54,=266,160.8387443
ST7,54,=266,97.88105639
GL2,53,=276,85.62197092
M33,53,=276,85.58878625
NN9,53,=276,182.525743
S20,53,=276,175.5199364
S61,53,=276,151.6799267
SO18,53,=276,141.4691437
ST17,53,=276,137.558722
ST4,53,=276,91.55927167
WF2,53,=276,97.25841377
B24,52,=285,174.7487986
BB8,52,=285,224.8454188
FY5,52,=285,116.2868708
IG10,52,=285,153.85981
LE7,52,=285,101.4693543
LL29,52,=285,252.9675034
NG4,52,=285,127.3386228
S75,52,=285,115.8283958
SW16,52,=285,60.48551256
WV4,52,=285,149.2708692
B26,51,=295,147.394584
B64,51,=295,275.616083
CF44,51,=295,124.4722134
DH8,51,=295,127.9510274
HX2,51,=295,137.4774241
L19,51,=295,207.0309329
NN15,51,=295,122.3373633
PE11,51,=295,108.1103998
PE12,51,=295,121.7765043
RG2,51,=295,107.8748652
SG2,51,=295,117.9954653
TW13,51,=295,127.7683135
WN3,51,=295,165.476963
CW2,50,=308,113.5202634
E14,50,=308,46.20474245
E17,50,=308,44.22704395
HU7,50,=308,104.4386423
L5,50,=308,343.194454
LS13,50,=308,134.8981519
OX11,50,=308,112.3545009
PO6,50,=308,117.5917215
SK6,50,=308,97.17984101
TS3,50,=308,168.0954782
B71,49,=318,146.7900902
BL9,49,=318,93.67771044
CO10,49,=318,97.39420803
CV9,49,=318,215.9065874
DN15,49,=318,131.6921092
DN7,49,=318,202.1535542
E6,49,=318,58.12643092
EN8,49,=318,124.4665718
NG15,49,=318,107.1600402
NG9,49,=318,66.47853693
NR30,49,=318,156.7548546
PE3,49,=318,146.8032836
PO13,49,=318,137.247213
RM10,49,=318,115.5823937
RM16,49,=318,111.4573619
S8,49,=318,106.6353289
SL2,49,=318,81.72659951
SM5,49,=318,117.3596474
CM18,48,=336,184.5231231
CM7,48,=336,94.16750044
GL51,48,=336,90.26289067
L12,48,=336,156.5762004
LL13,48,=336,133.4222815
NE29,48,=336,134.2882722
PO12,48,=336,103.5241341
PR25,48,=336,146.7172026
RG12,48,=336,80.9907873
S25,48,=336,224.9613348
SO50,48,=336,92.58723454
SS15,48,=336,141.6848692
UB3,48,=336,84.37483521
WA4,48,=336,97.17189303
BB9,47,=350,94.07714326
CH1,47,=350,142.5884352
CO16,47,=350,176.9445072
DY10,47,=350,127.027027
L10,47,=350,307.5312439
ME8,47,=350,92.47599559
S36,47,=350,162.0689655
S44,47,=350,209.7371592
SN3,47,=350,85.14647004
TF2,47,=350,115.3176142
B38,46,=360,217.8339726
CH41,46,=360,234.6100882
CV21,46,=360,114.4990666
EX4,46,=360,75.79502389
LA4,46,=360,176.6445221
M32,46,=360,155.9322034
MK41,46,=360,105.2150046
NN17,46,=360,137.2151295
RH12,46,=360,88.47685176
RM13,46,=360,141.2689638
SG6,46,=360,133.9896886
SK3,46,=360,158.7465921
SL3,46,=360,91.04764167
SR2,46,=360,143.445179
SW11,46,=360,56.55552277
UB5,46,=360,91.45492863
BB4,45,=376,106.2724353
CA2,45,=376,110.812874
CM8,45,=376,126.1741203
CW12,45,=376,134.8193421
HP2,45,=376,106.0720347
L15,45,=376,150.1150882
L17,45,=376,196.420777
LL14,45,=376,135.5135965
M43,45,=376,188.0170469
M44,45,=376,225.9036145
ME3,45,=376,148.804603
ME4,45,=376,134.3243485
MK6,45,=376,151.9859497
NE63,45,=376,159.3540848
NG21,45,=376,183.0533295
NN5,45,=376,99.31801629
NR3,45,=376,130.400765
NW2,45,=376,63.89504174
OL4,45,=376,94.61931496
PR6,45,=376,124.2853592
PR9,45,=376,102.4473534
S21,45,=376,218.414794
SK5,45,=376,142.6623974
SM4,45,=376,113.3786848
AL10,44,=400,113.0146662
DN11,44,=400,148.3579473
E3,44,=400,64.98013675
HU5,44,=400,90.07533574
HU8,44,=400,125.7681864
L26,44,=400,287.1875204
LA3,44,=400,175.145291
M18,44,=400,164.2036125
NP22,44,=400,204.6226108
PE13,44,=400,115.6342803
RM18,44,=400,222.5369209
SE28,44,=400,144.1488665
TQ12,44,=400,75.20853275
B29,43,=413,93.15222807
BB12,43,=413,118.6141454
BH11,43,=413,206.0275023
CM17,43,=413,165.984714
CO12,43,=413,183.2907076
DA16,43,=413,114.7094915
DN8,43,=413,233.7591737
FY7,43,=413,163.9594296
L31,43,=413,139.8283039
SR8,43,=413,124.0372689
SS3,43,=413,147.275405
B69,42,=424,132.004903
B78,42,=424,169.3753277
BN27,42,=424,129.9625584
BS34,42,=424,115.3877854
CR7,42,=424,89.45496369
DE13,42,=424,97.05372617
HD2,42,=424,139.9440224
LU6,42,=424,121.7744274
M11,42,=424,172.1311475
NE24,42,=424,104.0634291
NG7,42,=424,66.81939672
NN11,42,=424,101.0076718
OL12,42,=424,88.55715099
RH6,42,=424,119.791221
S81,42,=424,108.6506623
SA18,42,=424,138.0307611
SL1,42,=424,53.70019946
SM6,42,=424,104.0556946
SS2,42,=424,107.337269
TS24,42,=424,189.6761956
BA14,41,=444,77.63828135
BR6,41,=444,85.34376886
CV47,41,=444,203.2520325
CW8,41,=444,101.7647497
DH9,41,=444,110.0641594
HD4,41,=444,136.5437773
KT19,41,=444,108.328049
LU1,41,=444,81.16883117
LU3,41,=444,62.20509475
M38,41,=444,271.7211213
MK45,41,=444,82.925448
N17,41,=444,59.58176507
NE15,41,=444,120.9225506
OL11,41,=444,84.90546501
PO2,41,=444,96.42067636
SL6,41,=444,48.65140674
WF17,41,=444,92.151398
B90,40,=461,80.61915511
BN1,40,=461,47.15090648
BN22,40,=461,119.0866057
CM16,40,=461,167.1611852
CM9,40,=461,113.1189729
CT1,40,=461,124.498117
CT11,40,=461,133.457894
DN2,40,=461,162.1533971
DN3,40,=461,132.5688529
EN1,40,=461,83.44459279
FY3,40,=461,125.5098839
LL57,40,=461,149.0146407
M46,40,=461,170.801486
M6,40,=461,110.42098
MK3,40,=461,143.6781609
RG22,40,=461,94.30848305
SR3,40,=461,105.2022513
SS14,40,=461,137.7268189
SS7,40,=461,79.14366554
SW9,40,=461,83.32291797
TF3,40,=461,148.4836111
TN38,40,=461,138.1501692
TS10,40,=461,105.5743243
WD6,40,=461,95.52695054
WS8,40,=461,243.1315342
WV11,40,=461,112.1390524
WV13,40,=461,179.139236
B97,39,=488,111.1681204
BD6,39,=488,125.4503345
BN17,39,=488,117.6080335
BS10,39,=488,127.4301585
CF32,39,=488,123.9157373
CT2,39,=488,120.6272618
CT6,39,=488,96.32007903
CV5,39,=488,82.83244483
EN11,39,=488,173.4643953
NE37,39,=488,196.7113891
SE1,39,=488,53.29761937
SP11,39,=488,109.1703057
SW15,39,=488,60.96417183
WF12,39,=488,108.2791937
WS7,39,=488,129.1219706
BS23,38,=503,105.6582789
CH8,38,=503,182.7801828
CM23,38,=503,86.64918481
DN22,38,=503,101.5934125
DN33,38,=503,186.429868
DN35,38,=503,116.5072357
HU3,38,=503,121.9903692
LE8,38,=503,93.41888537
N7,38,=503,74.76194224
NN16,38,=503,117.8404193
OL10,38,=503,128.0927661
S62,38,=503,189.1959174
SA11,38,=503,106.6936208
SN5,38,=503,106.6487048
TF7,38,=503,199.2972151
UB4,38,=503,89.18512955
WN4,38,=503,136.4354445
WN6,38,=503,90.8830001
WS13,38,=503,130.4452302
B13,37,=522,95.64925161
B70,37,=522,108.6382054
BH23,37,=522,66.90414625
CF39,37,=522,127.5466235
CF40,37,=522,184.1712295
CH43,37,=522,97.80597409
CM13,37,=522,145.916315
CO2,37,=522,90.4402239
CO4,37,=522,69.45356935
CV22,37,=522,92.96248838
CV4,37,=522,99.15317826
DE75,37,=522,198.3382471
DL5,37,=522,125.4620054
HA8,37,=522,51.51481399
HD5,37,=522,120.3839271
HP13,37,=522,80.44527547
L7,37,=522,171.1853428
NE31,37,=522,161.2551754
NW10,37,=522,38.89578033
PE19,37,=522,79.06489732
PE4,37,=522,121.9351437
ST1,37,=522,113.8391484
TQ1,37,=522,111.5802171
TS17,37,=522,79.2053774
UB6,37,=522,68.49441863
W12,37,=522,74.73992526
WS15,37,=522,95.64430658
WV12,37,=522,144.59338
YO8,37,=522,76.59979711
B35,36,=551,363.7465899
BA2,36,=551,44.77389185
BS14,36,=551,116.3918526
CB6,36,=551,90.59566651
CF31,36,=551,79.42461281
CM2,36,=551,58.97578716
CR2,36,=551,71.48246694
E13,36,=551,69.55715279
GL3,36,=551,103.2435688
HP21,36,=551,102.5670247
LE11,36,=551,54.83291193
NG2,36,=551,59.60758341
NG24,36,=551,74.56194855
NR5,36,=551,111.662531
OL9,36,=551,81.83678109
RH1,36,=551,71.37758744
S40,36,=551,103.7673306
SW6,36,=551,54.67136435
TS5,36,=551,87.12066212
WD19,36,=551,122.0173536
B67,35,=571,107.3290402
BD4,35,=571,107.4542552
CA14,35,=571,97.57457485
CM20,35,=571,134.9892009
CV31,35,=571,101.6880212
CV34,35,=571,98.12167087
DA7,35,=571,96.95290859
DL14,35,=571,92.96148738
DL3,35,=571,80.9098895
LA13,35,=571,183.2077052
LN6,35,=571,54.1142274
M41,35,=571,83.88256441
NE23,35,=571,88.56947643
NP11,35,=571,95.71471545
OX26,35,=571,91.89245957
PE14,35,=571,155.5348176
RM12,35,=571,97.13587922
TS23,35,=571,123.126715
TW14,35,=571,110.1079057
TW19,35,=571,185.8933503
UB7,35,=571,94.71747131
W10,35,=571,99.54210631
WF7,35,=571,154.4640099
B27,34,=594,127.7235162
BH12,34,=594,94.00315187
CH7,34,=594,67.38811591
DH4,34,=594,97.13453133
DY9,34,=594,107.4317492
E5,34,=594,69.36227508
FY2,34,=594,141.2018772
GU11,34,=594,125.1426258
HA4,34,=594,64.0361616
HX3,34,=594,74.05955259
IG7,34,=594,143.8666272
MK43,34,=594,80.01317864
NE9,34,=594,92.33861112
NP12,34,=594,101.5865428
OL2,34,=594,82.70292622
PL6,34,=594,79.38731671
S74,34,=594,188.2822018
SE12,34,=594,119.047619
SG8,34,=594,84.30866891
SK13,34,=594,101.985722
SS9,34,=594,67.02677128
TA6,34,=594,64.52225069
BR2,33,=616,66.49606061
CF45,33,=616,170.2522829
CF63,33,=616,152.4249423
CM19,33,=616,158.4405608
DY13,33,=616,143.9916223
HR2,33,=616,84.69356329
LS27,33,=616,86.19788946
M5,33,=616,155.6750637
N19,33,=616,94.27224682
NE10,33,=616,96.46020286
NE33,33,=616,127.206846
NE8,33,=616,101.7858795
OL1,33,=616,129.6405421
PO20,33,=616,91.20557183
RM17,33,=616,110.2462166
S14,33,=616,339.3665158
S26,33,=616,124.6647274
S72,33,=616,127.2902604
SE2,33,=616,116.2749727
SE25,33,=616,90.17378949
SK10,33,=616,80.73789543
SK15,33,=616,115.4209367
SK16,33,=616,167.1224552
SS0,33,=616,77.58134286
WD25,33,=616,107.1219892
WF8,33,=616,91.45327569
WV6,33,=616,72.76415594
BD21,32,=643,118.5053513
BH15,32,=643,89.74646623
CB8,32,=643,92.48554913
CT17,32,=643,143.6394649
DE15,32,=643,127.9488205
DH7,32,=643,74.87131493
IP1,32,=643,78.6956201
